,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
2370,100.2889,265.86487,97.0,90.0,0.7284891,3.710024,0.019889388,4.118224,65.0,190.0,0.09820486,81.0,88.0,110.0,122.0,41.0,0
3789,131.14177,1023.0513,121.0,112.0,0.75365657,2.630555,0.012164073,4.6569986,65.0,224.0,0.08387869,97.0,107.0,148.0,185.0,88.0,0
1982,125.16369,462.36157,124.0,114.0,-0.03915753,2.6199584,0.013920565,4.44509,59.0,198.0,0.088967726,97.0,110.0,139.0,153.0,56.0,1
2665,44.805653,733.799,38.0,14.0,0.98981285,3.6088479,0.028331993,4.247032,4.0,168.0,0.13758117,14.0,25.0,59.0,86.0,72.0,0
2673,72.27032,516.5706,73.0,90.0,-0.17937315,2.2032473,0.013450265,4.4571514,7.0,149.0,0.11822286,42.0,53.0,90.0,101.0,59.0,0
627,152.43692,260.6614,151.0,144.0,-0.014346532,2.7095635,0.018093595,4.1623306,96.0,210.0,0.08061174,131.0,140.0,163.0,174.0,43.0,1
5982,56.21591,764.6352,52.0,29.0,0.68850416,2.9131656,0.0150881475,4.4667125,16.0,160.0,0.12827511,25.0,31.0,75.0,92.0,67.0,0
2039,84.89098,202.9152,81.0,77.0,1.0742259,4.226592,0.026941627,3.904443,53.0,152.0,0.10601833,70.0,75.0,90.0,106.0,36.0,0
5696,108.55716,305.283,107.0,112.0,0.23171353,2.591544,0.017430874,4.221772,59.0,172.0,0.09528695,86.0,95.0,120.0,132.0,46.0,0
3359,114.44369,187.31201,112.0,112.0,0.6336738,3.5906923,0.024783984,3.9408402,77.0,172.0,0.09247347,98.0,104.0,121.0,132.0,34.0,1
2357,81.21368,1489.6957,88.0,6.0,-0.4005008,2.1309593,0.012678182,4.711181,2.0,191.0,0.11550803,26.0,50.0,112.0,124.0,98.0,0
2649,145.55319,1385.8468,153.0,166.0,-1.3019028,4.692336,0.010031226,4.811174,18.0,215.0,0.08498142,98.0,128.0,172.0,183.0,85.0,0
4860,66.43497,1273.7037,59.0,34.0,0.6354848,2.3974152,0.013326855,4.6590195,17.0,180.0,0.11561902,26.0,35.0,91.0,119.0,93.0,0
3583,40.200344,2852.6638,9.0,4.0,1.3389708,3.453563,0.22672074,3.1288378,4.0,206.0,0.07462623,4.0,4.0,62.0,136.0,132.0,0
6170,39.367702,719.57697,29.0,14.0,1.1439776,3.554209,0.032404587,4.13909,4.0,143.0,0.13679144,14.0,17.0,54.0,82.0,68.0,0
1304,118.41711,604.9214,114.0,114.0,0.5231048,2.7048616,0.013286248,4.5194716,59.0,214.0,0.090165,90.0,100.0,135.0,154.0,64.0,0
1777,42.179718,999.3677,25.0,17.0,1.0558505,2.8719985,0.059889387,3.9195907,13.0,159.0,0.118540384,17.0,17.0,64.0,94.0,77.0,0
5563,168.98346,275.41837,167.0,168.0,0.1334846,2.912388,0.018160006,4.179202,114.0,229.0,0.07647404,148.0,157.0,179.0,191.0,43.0,1
5884,136.65163,1218.2881,137.0,112.0,-0.2733967,2.3891525,0.008513642,4.890807,26.0,213.0,0.08565357,91.0,111.0,164.0,181.0,90.0,0
3639,125.05955,172.47853,122.0,114.0,1.0615746,4.766693,0.02797654,3.8371124,90.0,186.0,0.088320814,111.0,115.0,131.0,141.0,30.0,0
1601,29.052828,277.7782,22.0,17.0,1.656137,5.1069036,0.0925702,3.308846,13.0,99.0,0.16144438,17.0,17.0,34.0,54.0,37.0,0
3678,108.169754,391.0218,107.0,112.0,0.23422529,2.680749,0.015460417,4.34791,57.0,174.0,0.09562821,82.0,93.0,121.0,134.0,52.0,0
4620,66.66882,1291.9937,73.0,9.0,0.16807123,2.819687,0.012948993,4.6793494,3.0,193.0,0.12815592,13.0,36.0,91.0,104.0,91.0,0
170,162.58607,1627.9819,175.0,188.0,-2.0620313,7.016257,0.014226704,4.589729,3.0,216.0,0.08136463,115.0,153.0,186.0,194.0,79.0,1
3883,10.765939,44.90863,9.0,9.0,1.8051814,7.242512,0.25830346,2.0732825,3.0,52.0,0.2786566,4.0,9.0,11.0,20.0,16.0,0
5798,66.75295,561.9452,68.0,90.0,-0.2281911,2.1841266,0.012902191,4.491769,10.0,136.0,0.123533286,34.0,48.0,86.0,96.0,62.0,0
3272,167.4492,924.9546,168.0,205.0,-0.4431965,2.3140488,0.010524278,4.6773934,74.0,225.0,0.07740545,124.0,146.0,194.0,205.0,81.0,1
1384,129.1964,1620.159,137.0,150.0,-0.59265876,2.3762517,0.008053668,4.9639616,19.0,208.0,0.090596184,67.0,102.0,160.0,175.0,108.0,0
1666,134.46507,1193.3284,136.0,114.0,-0.27911058,2.0764117,0.008862887,4.84474,31.0,213.0,0.086728126,86.0,107.0,164.0,177.0,91.0,1
463,115.618,1677.2115,126.0,134.0,-1.1077828,3.4872475,0.009877705,4.8529572,3.0,211.0,0.09708672,41.0,99.0,143.0,157.0,116.0,1
4758,116.77982,451.9956,117.0,114.0,-0.2668076,2.9236827,0.01470723,4.426943,37.0,182.0,0.09262434,89.0,103.0,131.0,144.0,55.0,0
543,80.81229,1304.2534,86.0,90.0,-0.2362572,2.3481302,0.008945108,4.879283,3.0,197.0,0.11475505,28.0,52.0,108.0,124.0,96.0,1
2828,20.462387,64.00751,18.0,15.0,1.5598817,5.7351756,0.10383955,2.937587,4.0,89.0,0.2073385,14.0,15.0,23.0,31.0,17.0,0
3830,111.51344,137.6633,111.0,112.0,0.0499451,3.4124599,0.028735735,3.8175378,62.0,185.0,0.09447878,96.0,104.0,118.0,126.0,30.0,0
1473,123.85951,265.65616,122.0,114.0,0.36400166,2.8936772,0.019504022,4.141343,80.0,188.0,0.08917652,104.0,112.0,134.0,146.0,42.0,0
2599,58.70898,762.9961,48.0,48.0,0.6334676,2.1635792,0.016493628,4.399892,11.0,151.0,0.11800926,29.0,38.0,85.0,101.0,72.0,0
4255,96.24928,126.8357,94.0,90.0,0.738696,4.2899117,0.029135238,3.7625856,64.0,159.0,0.10073176,83.0,88.0,102.0,111.0,28.0,0
2941,87.994484,192.31096,86.0,77.0,0.92965883,4.7229304,0.024717284,3.9480133,52.0,159.0,0.105388634,73.0,77.0,95.0,106.0,33.0,0
4536,88.25558,659.9945,84.0,77.0,0.6197708,3.0823414,0.012535533,4.574087,7.0,181.0,0.10384785,57.0,69.0,104.0,124.0,67.0,0
2151,111.290634,690.0997,112.0,112.0,-0.14136343,2.2532084,0.011290663,4.6164365,27.0,176.0,0.0950934,77.0,90.0,131.0,146.0,69.0,0
