,LTE_LL_5,LTE_EE_5,LTE_SS_5,LTE_LE_5,LTE_ES_5,LTE_LS_5,Label
788,2225.5767,15.432091,3.1681843,136.14865,5.911205,27.05494,0
3125,7034.1846,68.727936,21.805477,307.36368,37.183556,132.58028,0
5578,9752.155,30.793068,11.275912,172.14497,17.720325,61.26033,0
2474,14596.422,59.96239,20.18222,345.0821,33.305405,122.86843,0
4340,4744.4644,74.761116,25.34801,376.62643,41.09367,145.70502,1
3321,4606.839,66.9683,23.579008,288.3766,38.5434,131.23206,0
2263,2212.077,59.98111,22.180328,238.16724,35.4951,118.44247,0
1611,7722.934,44.186165,16.601715,227.14539,26.01655,87.49035,1
3604,17792.172,42.496483,14.250497,223.28195,23.613008,83.41452,0
5766,3320.866,55.98081,18.410479,259.09164,30.897724,110.86881,0
3192,2211.0696,54.882633,20.185936,224.52711,32.383247,108.871796,0
3164,8040.533,63.977238,22.274338,305.95322,35.98932,125.47309,0
2314,5251.6255,74.320625,26.269344,322.1947,42.890736,148.89081,0
1965,12488.875,43.79718,14.529236,222.95428,24.179234,85.360466,0
5139,3724.879,77.37409,27.539072,332.52417,44.51558,153.99597,0
5435,4473.344,74.12234,25.895294,346.26508,42.17201,147.00531,0
3226,3857.5447,58.47255,20.268211,259.93695,33.084225,112.61242,0
4106,2691.4575,64.79692,22.347258,255.89003,37.34509,129.03767,1
5622,8492.809,66.46933,25.10855,282.06607,39.536495,133.39238,1
5709,5032.9614,64.70451,22.6804,306.6726,36.90844,124.52313,0
2642,5459.531,67.07999,22.649643,304.25848,37.661095,131.21689,1
1193,6458.105,64.683105,22.026735,315.79825,36.27773,129.46313,0
5255,7160.164,60.442886,20.58785,245.06436,32.231617,92.32823,0
3651,6521.946,68.91567,21.381992,361.11707,36.47209,136.66833,1
3241,4954.4766,56.807785,20.432058,246.7111,33.035137,112.96666,0
2393,4504.6743,59.768833,21.465015,233.2708,35.26965,118.79745,0
5853,7490.7207,47.786526,16.585548,232.03636,26.795567,90.50471,0
705,4459.7534,59.976284,18.344154,301.22208,31.77341,119.7837,1
3006,8476.596,72.997574,21.934807,370.09006,38.54032,144.59412,1
4139,6560.2627,74.35211,24.885754,329.73538,41.511055,146.78522,1
2297,7124.607,58.849007,21.126318,267.84427,33.798283,112.81082,0
301,5319.9785,71.28394,24.080181,334.36456,39.64643,138.40103,1
1110,2899.3606,51.272366,18.45621,234.65405,29.725168,105.51516,0
4938,2321.3625,57.44053,20.740547,228.02141,33.656055,113.61909,0
3474,7924.0264,31.642393,13.805312,118.22251,20.513948,63.367447,0
4269,11087.789,42.5172,12.261429,233.60336,21.26462,80.15099,0
5329,5293.5786,73.070984,23.874556,351.0777,40.023678,139.85643,1
202,3647.226,50.38731,19.056217,217.86723,30.03183,100.462944,1
1038,1793.5231,63.529297,24.524422,243.12393,38.636066,129.23178,0
3682,2980.937,59.73016,22.129786,253.91737,35.25782,117.89539,0
2809,5017.9277,39.934067,14.220706,158.20088,23.208067,78.80646,0
4601,3025.1067,49.073704,18.331173,200.3877,29.319004,98.80127,0
5368,6957.0386,42.884785,16.239418,181.31711,25.71409,87.00085,0
4607,4325.499,61.427593,20.899704,288.46347,34.3687,118.07974,0
5661,4706.7183,81.19975,28.974272,369.22888,46.912975,162.91817,1
4833,5387.2773,26.866194,12.111516,100.16563,17.800858,53.93023,0
4972,3401.535,83.443954,32.165653,329.8925,50.355278,162.3636,1
1368,5713.3228,62.092953,21.19889,292.7787,34.80037,120.70854,0
5604,4051.0686,88.23969,39.070797,342.58057,57.628395,186.42271,0
4003,2783.9673,59.906437,20.442083,253.5979,34.14696,120.786835,0
3750,6127.863,43.335537,14.443592,231.16742,23.917816,87.24676,0
753,10100.121,53.08996,17.820879,224.77397,30.313728,107.89553,1
4454,4095.2668,66.84243,21.308985,307.91806,36.696777,134.25938,1
4937,11266.244,56.334194,19.535666,269.78125,31.247835,104.45047,1
3150,6196.3887,50.403683,16.41487,231.55019,27.632336,98.07165,0
4558,2344.9036,54.76046,17.911755,244.71677,30.348362,110.60866,0
378,11591.238,53.22374,17.147415,271.29657,28.963177,107.01861,1
2320,384.76028,30.82428,15.031249,91.261635,21.456347,62.809395,0
4278,2034.2286,56.473244,21.773937,229.49521,34.264168,118.73656,0
793,15623.915,127.71276,21.038969,933.1459,44.513863,191.88127,0
1131,9217.768,73.86941,25.61841,350.08252,41.29866,137.54628,0
5617,1901.4125,28.15006,12.608898,93.49345,18.656452,56.646584,0
6137,9936.538,43.832497,14.585947,232.88776,23.87186,85.01803,0
4307,2084.3613,45.04527,16.766312,181.34552,26.637075,88.33548,0
3438,5443.4487,43.960327,17.492954,189.8643,26.845337,86.80076,0
4180,3617.6968,33.80572,16.038847,111.775696,23.135822,67.96237,0
